number,value,datetime_start,datetime_complete,duration,params_clip_value,params_lr,params_lr_decay,params_reg_lambda,user_attrs_metrics,user_attrs_params,user_attrs_score,state
0,0.3184748413782441,2025-10-21 10:38:29.603927,2025-10-21 10:39:01.780827,0 days 00:00:32.176900,3.293837877709642,0.17710428143382625,0.07458338193651541,0.716707880544434,"{'Precision@N': np.float64(0.003986622073578596), 'Recall@N': np.float64(0.3986622073578595), 'F1@N': np.float64(0.007894301057637804), 'HitRate': 0.3986622073578595, 'MRR@N': np.float64(0.0664092190161031), 'NDCG@N': np.float64(0.13137098742580833), 'MAP@N': np.float64(0.0664092190161031), 'Correct recommendations': 1192, 'Fraction correct as ratio': '1192/2990'}","{'alpha': np.float32(0.40438062), 'beta': np.float32(2.4159665), 'delta': np.float32(0.47219586), 'eta': np.float32(0.40438062), 'gamma': np.float32(0.04043806), 'epsilon': np.float32(5.041389), 'd_effect': 1}",0.3184748413782441,COMPLETE
1,0.2844307952627347,2025-10-21 10:39:01.782183,2025-10-21 10:39:33.348524,0 days 00:00:31.566341,3.1691441464342773,0.18870850183409726,0.2548996428772405,0.9703364277894366,"{'Precision@N': np.float64(0.003585284280936455), 'Recall@N': np.float64(0.3585284280936455), 'F1@N': np.float64(0.007099572763244736), 'HitRate': 0.3585284280936455, 'MRR@N': np.float64(0.055021217711758684), 'NDCG@N': np.float64(0.11153631865727623), 'MAP@N': np.float64(0.055021217711758684), 'Correct recommendations': 1072, 'Fraction correct as ratio': '1072/2990'}","{'alpha': np.float32(0.5716068), 'beta': np.float32(1.5963279), 'delta': np.float32(0.6430786), 'eta': np.float32(0.5716068), 'gamma': np.float32(0.05716067), 'epsilon': np.float32(7.1261873), 'd_effect': 1}",0.2844307952627347,COMPLETE
2,0.30960384386108714,2025-10-21 10:39:33.349937,2025-10-21 10:40:05.226438,0 days 00:00:31.876501,1.2428065057104414,0.1778711228062552,0.11473502538146572,0.3096592151891341,"{'Precision@N': np.float64(0.003879598662207358), 'Recall@N': np.float64(0.3879598662207358), 'F1@N': np.float64(0.007682373512466318), 'HitRate': 0.3879598662207358, 'MRR@N': np.float64(0.06397471887186836), 'NDCG@N': np.float64(0.12677312502190685), 'MAP@N': np.float64(0.06397471887186836), 'Correct recommendations': 1160, 'Fraction correct as ratio': '1160/2990'}","{'alpha': np.float32(0.7217685), 'beta': np.float32(2.1218345), 'delta': np.float32(0.8119888), 'eta': np.float32(0.7217685), 'gamma': np.float32(0.072176844), 'epsilon': np.float32(8.99824), 'd_effect': 1}",0.30960384386108714,COMPLETE
3,0.27743735649845463,2025-10-21 10:40:05.227667,2025-10-21 10:40:37.019126,0 days 00:00:31.791459,3.2102328529074318,0.060912334023601446,0.09943698551542038,0.735046274412818,"{'Precision@N': np.float64(0.0035050167224080267), 'Recall@N': np.float64(0.3505016722408027), 'F1@N': np.float64(0.006940627104366121), 'HitRate': 0.3505016722408027, 'MRR@N': np.float64(0.052090727717099605), 'NDCG@N': np.float64(0.10695395309964262), 'MAP@N': np.float64(0.052090727717099605), 'Correct recommendations': 1048, 'Fraction correct as ratio': '1048/2990'}","{'alpha': np.float32(0.7083155), 'beta': np.float32(1.4584079), 'delta': np.float32(0.790416), 'eta': np.float32(0.7083155), 'gamma': np.float32(0.070831545), 'epsilon': np.float32(8.830525), 'd_effect': 1}",0.27743735649845463,COMPLETE
4,0.3109228770827127,2025-10-21 10:40:37.020459,2025-10-21 10:41:08.698395,0 days 00:00:31.677936,4.194039307298392,0.14984813340824402,0.37394828314071515,0.4882852583355948,"{'Precision@N': np.float64(0.003896321070234114), 'Recall@N': np.float64(0.3896321070234114), 'F1@N': np.float64(0.007715487191399362), 'HitRate': 0.3896321070234114, 'MRR@N': np.float64(0.06416628707257581), 'NDCG@N': np.float64(0.12726800722108236), 'MAP@N': np.float64(0.06416628707257581), 'Correct recommendations': 1165, 'Fraction correct as ratio': '1165/2990'}","{'alpha': np.float32(0.6281413), 'beta': np.float32(2.1624079), 'delta': np.float32(0.71076083), 'eta': np.float32(0.6281413), 'gamma': np.float32(0.06281415), 'epsilon': np.float32(7.831), 'd_effect': 1}",0.3109228770827127,COMPLETE
5,0.26629379242569395,2025-10-21 10:41:08.700200,2025-10-21 10:41:40.305626,0 days 00:00:31.605426,2.287969202040138,0.05619552700939248,0.37326779316052683,0.42540155447149786,"{'Precision@N': np.float64(0.003374581939799331), 'Recall@N': np.float64(0.3374581939799331), 'F1@N': np.float64(0.006682340408688375), 'HitRate': 0.3374581939799331, 'MRR@N': np.float64(0.04792245990187788), 'NDCG@N': np.float64(0.10024352213246936), 'MAP@N': np.float64(0.04792245990187788), 'Correct recommendations': 1009, 'Fraction correct as ratio': '1009/2990'}","{'alpha': np.float32(0.799238), 'beta': np.float32(1.3111141), 'delta': np.float32(0.8881784), 'eta': np.float32(0.799238), 'gamma': np.float32(0.079923816), 'epsilon': np.float32(9.96405), 'd_effect': 1}",0.26629379242569395,COMPLETE
6,0.30626875213790616,2025-10-21 10:41:40.306889,2025-10-21 10:42:12.052504,0 days 00:00:31.745615,3.9573456834093235,0.05065516396644668,0.34039921004282775,0.025846484854210372,"{'Precision@N': np.float64(0.003839464882943144), 'Recall@N': np.float64(0.3839464882943144), 'F1@N': np.float64(0.007602900683027011), 'HitRate': 0.3839464882943144, 'MRR@N': np.float64(0.06301189056221373), 'NDCG@N': np.float64(0.125020701106287), 'MAP@N': np.float64(0.06301189056221373), 'Correct recommendations': 1148, 'Fraction correct as ratio': '1148/2990'}","{'alpha': np.float32(0.8336015), 'beta': np.float32(2.026698), 'delta': np.float32(0.9327482), 'eta': np.float32(0.8336015), 'gamma': np.float32(0.083360136), 'epsilon': np.float32(10.392459), 'd_effect': 1}",0.30626875213790616,COMPLETE
7,0.2952465310845137,2025-10-21 10:42:12.054135,2025-10-21 10:42:43.704192,0 days 00:00:31.650057,2.867298723311622,0.12329693375321261,0.38921032975579734,0.40185013808277237,"{'Precision@N': np.float64(0.003709030100334448), 'Recall@N': np.float64(0.37090301003344484), 'F1@N': np.float64(0.007344613987349264), 'HitRate': 0.37090301003344484, 'MRR@N': np.float64(0.059504045298712394), 'NDCG@N': np.float64(0.11871474687034113), 'MAP@N': np.float64(0.059504045298712394), 'Correct recommendations': 1109, 'Fraction correct as ratio': '1109/2990'}","{'alpha': np.float32(0.7293824), 'beta': np.float32(1.7941735), 'delta': np.float32(0.8168722), 'eta': np.float32(0.7293824), 'gamma': np.float32(0.07293823), 'epsilon': np.float32(9.093167), 'd_effect': 1}",0.2952465310845137,COMPLETE
8,0.2553614009876861,2025-10-21 10:42:43.705349,2025-10-21 10:43:15.664048,0 days 00:00:31.958699,1.0732366143128862,0.06577206609772794,0.11948654058597317,0.7576070148736799,"{'Precision@N': np.float64(0.003247491638795987), 'Recall@N': np.float64(0.3247491638795987), 'F1@N': np.float64(0.006430676448797238), 'HitRate': 0.3247491638795987, 'MRR@N': np.float64(0.043789457971583345), 'NDCG@N': np.float64(0.0934566209065569), 'MAP@N': np.float64(0.043789457971583345), 'Correct recommendations': 971, 'Fraction correct as ratio': '971/2990'}","{'alpha': np.float32(0.79670775), 'beta': np.float32(1.1789957), 'delta': np.float32(0.8840881), 'eta': np.float32(0.79670775), 'gamma': np.float32(0.079670765), 'epsilon': np.float32(9.932508), 'd_effect': 1}",0.2553614009876861,COMPLETE
9,0.32869211598992276,2025-10-21 10:43:15.665400,2025-10-21 10:43:47.241631,0 days 00:00:31.576231,2.806787398631261,0.1886577500260886,0.3192069931314558,0.24772080723845258,"{'Precision@N': np.float64(0.004103678929765886), 'Recall@N': np.float64(0.41036789297658866), 'F1@N': np.float64(0.008126096810169115), 'HitRate': 0.41036789297658866, 'MRR@N': np.float64(0.0702334732138478), 'NDCG@N': np.float64(0.1381153030210358), 'MAP@N': np.float64(0.0702334732138478), 'Correct recommendations': 1227, 'Fraction correct as ratio': '1227/2990'}","{'alpha': np.float32(0.682411), 'beta': np.float32(2.852107), 'delta': np.float32(0.7769402), 'eta': np.float32(0.682411), 'gamma': np.float32(0.068241104), 'epsilon': np.float32(8.507579), 'd_effect': 1}",0.32869211598992276,COMPLETE
10,0.334607214677139,2025-10-21 10:43:47.243104,2025-10-21 10:44:18.957291,0 days 00:00:31.714187,4.8858253705842625,0.08872477498903654,0.2537947747531651,0.14043431103639153,"{'Precision@N': np.float64(0.004173913043478261), 'Recall@N': np.float64(0.41739130434782606), 'F1@N': np.float64(0.0082651742616879), 'HitRate': 0.41739130434782606, 'MRR@N': np.float64(0.07191340717358759), 'NDCG@N': np.float64(0.14144433877886925), 'MAP@N': np.float64(0.07191340717358759), 'Correct recommendations': 1248, 'Fraction correct as ratio': '1248/2990'}","{'alpha': np.float32(0.7381793), 'beta': np.float32(3.1946735), 'delta': np.float32(0.84078914), 'eta': np.float32(0.7381793), 'gamma': np.float32(0.07381793), 'epsilon': np.float32(9.202837), 'd_effect': 1}",0.334607214677139,COMPLETE
11,0.3323766329897979,2025-10-21 10:44:18.958667,2025-10-21 10:44:50.783728,0 days 00:00:31.825061,4.675459030932756,0.08553102254694074,0.24832416991144474,0.1394916662687412,"{'Precision@N': np.float64(0.004147157190635451), 'Recall@N': np.float64(0.41471571906354515), 'F1@N': np.float64(0.00821219237539503), 'HitRate': 0.41471571906354515, 'MRR@N': np.float64(0.07131943141401152), 'NDCG@N': np.float64(0.1402520988177211), 'MAP@N': np.float64(0.07131943141401152), 'Correct recommendations': 1240, 'Fraction correct as ratio': '1240/2990'}","{'alpha': np.float32(0.74582636), 'beta': np.float32(3.0591774), 'delta': np.float32(0.84768087), 'eta': np.float32(0.74582636), 'gamma': np.float32(0.074582644), 'epsilon': np.float32(9.298173), 'd_effect': 1}",0.3323766329897979,COMPLETE
12,0.33924400601085886,2025-10-21 10:44:50.785076,2025-10-21 10:45:23.393628,0 days 00:00:32.608552,4.813648269278315,0.08601535522110482,0.21785030599660563,0.008598386063334018,"{'Precision@N': np.float64(0.00422742474916388), 'Recall@N': np.float64(0.42274247491638794), 'F1@N': np.float64(0.008371138034273643), 'HitRate': 0.42274247491638794, 'MRR@N': np.float64(0.07341193326559824), 'NDCG@N': np.float64(0.14441424523129112), 'MAP@N': np.float64(0.07341193326559824), 'Correct recommendations': 1264, 'Fraction correct as ratio': '1264/2990'}","{'alpha': np.float32(0.8343445), 'beta': np.float32(3.638534), 'delta': np.float32(0.9491288), 'eta': np.float32(0.8343445), 'gamma': np.float32(0.08343445), 'epsilon': np.float32(10.401722), 'd_effect': 1}",0.33924400601085886,COMPLETE
13,0.34143997393661846,2025-10-21 10:45:23.394928,2025-10-21 10:45:55.642869,0 days 00:00:32.247941,4.9862284548043645,0.08564008982091255,0.1979387668397471,0.0003317375548676175,"{'Precision@N': np.float64(0.004254180602006689), 'Recall@N': np.float64(0.4254180602006689), 'F1@N': np.float64(0.008424119920566514), 'HitRate': 0.4254180602006689, 'MRR@N': np.float64(0.07389763447241135), 'NDCG@N': np.float64(0.1454911059871674), 'MAP@N': np.float64(0.07389763447241135), 'Correct recommendations': 1272, 'Fraction correct as ratio': '1272/2990'}","{'alpha': np.float32(0.8413786), 'beta': np.float32(3.8235373), 'delta': np.float32(0.9585037), 'eta': np.float32(0.8413786), 'gamma': np.float32(0.08413785), 'epsilon': np.float32(10.489415), 'd_effect': 1}",0.34143997393661846,COMPLETE
14,0.3347004795936616,2025-10-21 10:45:55.644216,2025-10-21 10:46:27.673567,0 days 00:00:32.029351,3.9895129318166496,0.07669098225979266,0.17077158682616123,0.0035316512256077836,"{'Precision@N': np.float64(0.004173913043478261), 'Recall@N': np.float64(0.41739130434782606), 'F1@N': np.float64(0.0082651742616879), 'HitRate': 0.41739130434782606, 'MRR@N': np.float64(0.07214319096237146), 'NDCG@N': np.float64(0.14175522183394457), 'MAP@N': np.float64(0.07214319096237146), 'Correct recommendations': 1248, 'Fraction correct as ratio': '1248/2990'}","{'alpha': np.float32(0.8392052), 'beta': np.float32(3.2142422), 'delta': np.float32(0.9503133), 'eta': np.float32(0.8392052), 'gamma': np.float32(0.0839205), 'epsilon': np.float32(10.462319), 'd_effect': 1}",0.3347004795936616,COMPLETE
15,0.35000647643063665,2025-10-21 10:46:27.675007,2025-10-21 10:47:00.031103,0 days 00:00:32.356096,4.967950851842016,0.10679514829809283,0.018390424287397567,0.12940326697938503,"{'Precision@N': np.float64(0.004357859531772576), 'Recall@N': np.float64(0.43578595317725755), 'F1@N': np.float64(0.00862942472995139), 'HitRate': 0.43578595317725755, 'MRR@N': np.float64(0.07579494359667348), 'NDCG@N': np.float64(0.14985436402185462), 'MAP@N': np.float64(0.07579494359667348), 'Correct recommendations': 1303, 'Fraction correct as ratio': '1303/2990'}","{'alpha': np.float32(0.58918154), 'beta': np.float32(5.2965), 'delta': np.float32(0.70582545), 'eta': np.float32(0.58918154), 'gamma': np.float32(0.058918152), 'epsilon': np.float32(7.34529), 'd_effect': 1}",0.35000647643063665,COMPLETE
16,0.33896945307943505,2025-10-21 10:47:00.032299,2025-10-21 10:47:32.352073,0 days 00:00:32.319774,2.0255680479545495,0.11250849879110968,0.003926493282816558,0.17462186492041254,"{'Precision@N': np.float64(0.004224080267558528), 'Recall@N': np.float64(0.4224080267558528), 'F1@N': np.float64(0.008364515298487035), 'HitRate': 0.4224080267558528, 'MRR@N': np.float64(0.07338452310838345), 'NDCG@N': np.float64(0.14427944783446048), 'MAP@N': np.float64(0.07338452310838345), 'Correct recommendations': 1263, 'Fraction correct as ratio': '1263/2990'}","{'alpha': np.float32(0.6799939), 'beta': np.float32(3.65245), 'delta': np.float32(0.78280866), 'eta': np.float32(0.6799939), 'gamma': np.float32(0.06799939), 'epsilon': np.float32(8.477444), 'd_effect': 1}",0.33896945307943505,COMPLETE
17,0.3443118167831586,2025-10-21 10:47:32.353382,2025-10-21 10:48:04.642913,0 days 00:00:32.289531,4.326317767340966,0.11274450331207612,0.004284796303404271,0.31852074440979217,"{'Precision@N': np.float64(0.004287625418060201), 'Recall@N': np.float64(0.4287625418060201), 'F1@N': np.float64(0.008490347278432604), 'HitRate': 0.4287625418060201, 'MRR@N': np.float64(0.07476692363488495), 'NDCG@N': np.float64(0.1472601250631486), 'MAP@N': np.float64(0.07476692363488495), 'Correct recommendations': 1282, 'Fraction correct as ratio': '1282/2990'}","{'alpha': np.float32(0.37377483), 'beta': np.float32(4.4715734), 'delta': np.float32(0.46721244), 'eta': np.float32(0.37377483), 'gamma': np.float32(0.03737748), 'epsilon': np.float32(4.6598277), 'd_effect': 1}",0.3443118167831586,COMPLETE
18,0.327862010189569,2025-10-21 10:48:04.644035,2025-10-21 10:48:36.893442,0 days 00:00:32.249407,4.303127912432036,0.13258336720228406,0.04174343069120118,0.6143793410436393,"{'Precision@N': np.float64(0.004093645484949834), 'Recall@N': np.float64(0.40936454849498327), 'F1@N': np.float64(0.008106228602809287), 'HitRate': 0.40936454849498327, 'MRR@N': np.float64(0.07005714977907547), 'NDCG@N': np.float64(0.1376894208102692), 'MAP@N': np.float64(0.07005714977907547), 'Correct recommendations': 1224, 'Fraction correct as ratio': '1224/2990'}","{'alpha': np.float32(0.3490439), 'beta': np.float32(2.90851), 'delta': np.float32(0.41938835), 'eta': np.float32(0.3490439), 'gamma': np.float32(0.034904387), 'epsilon': np.float32(4.3515086), 'd_effect': 1}",0.327862010189569,COMPLETE
19,0.3423781181383708,2025-10-21 10:48:36.895060,2025-10-21 10:49:09.092478,0 days 00:00:32.197418,3.461520842626098,0.11127328496523901,0.004643224468863215,0.2975486339945681,"{'Precision@N': np.float64(0.004264214046822742), 'Recall@N': np.float64(0.42642140468227424), 'F1@N': np.float64(0.008443988127926341), 'HitRate': 0.42642140468227424, 'MRR@N': np.float64(0.07435889118437343), 'NDCG@N': np.float64(0.14627711620259629), 'MAP@N': np.float64(0.07435889118437343), 'Correct recommendations': 1275, 'Fraction correct as ratio': '1275/2990'}","{'alpha': np.float32(0.4771021), 'beta': np.float32(4.140776), 'delta': np.float32(0.57151556), 'eta': np.float32(0.4771021), 'gamma': np.float32(0.04771021), 'epsilon': np.float32(5.948004), 'd_effect': 1}",0.3423781181383708,COMPLETE
